0 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
20 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
4001,432 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
4012,295 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
4021,335 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
4051,479 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
4060,085 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
4070,358 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
4078,087 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
4087,128 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
4096,321 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
4105,601 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
4115,309 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
4125,65 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
4135,381 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
4144,969 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
4155,777 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
4164,97 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
